Samples	17may15_004-r001	17may15_004-r002	17may15_005-r001	17may15_005-r002	17may15_006-r001	17may15_006-r002	17may15_007-r001	17may15_007-r002	17may15_008-r001	17may15_008-r002	17may15_009-r001	17may15_009-r002	17may15_010-r001	17may15_010-r002	17may15_011-r001	17may15_011-r002	17may15_012-r001	17may15_012-r002	17may15_013-r001	17may15_013-r002	17may15_014-r001	17may15_014-r002	17may15_015-r001	17may15_015-r002	17may15_016-r001	17may15_016-r002	17may15_017-r001	17may15_017-r002	17may15_018-r001	17may15_018-r002	17may15_019-r001	17may15_019-r002	17may15_020-r001	17may15_020-r002	17may15_021-r001	17may15_021-r002	17may15_022-r001	17may15_022-r002	17may15_023-r001	17may15_023-r002	17may15_024-r001	17may15_024-r002	17may15_025-r001	17may15_025-r002	17may15_026-r001	17may15_026-r002	17may15_027-r001	17may15_027-r002	17may15_028-r001	17may15_028-r002	17may15_029-r001	17may15_029-r002	17may15_030-r001	17may15_030-r002	17may15_031-r001	17may15_031-r002	17may15_032-r001	17may15_032-r002	17may15_033-r001	17may15_033-r002	17may15_034-r001	17may15_034-r002	17may15_035-r001	17may15_035-r002	17may15_036-r001	17may15_036-r002	17may15_037-r001	17may15_037-r002	17may15_038-r001	17may15_038-r002	17may15_039-r001	17may15_039-r002	17may15_040-r001	17may15_040-r002	18may15_004-r001	18may15_004-r002	18may15_005-r001	18may15_005-r002	18may15_006-r001	18may15_006-r002	18may15_007-r001	18may15_007-r002	18may15_008-r001	18may15_008-r002	18may15_009-r001	18may15_009-r002	18may15_010-r001	18may15_010-r002	18may15_011-r001	18may15_011-r002	18may15_012-r001	18may15_012-r002	18may15_013-r001	18may15_013-r002	18may15_014-r001	18may15_014-r002	18may15_015-r001	18may15_015-r002	18may15_016-r001	18may15_016-r002	18may15_017-r001	18may15_017-r002	18may15_018-r001	18may15_018-r002	18may15_019-r001	18may15_019-r002	18may15_020-r001	18may15_020-r002	18may15_021-r001	18may15_021-r002	18may15_022-r001	18may15_022-r002	18may15_023-r001	18may15_023-r002	18may15_024-r001	18may15_024-r002	18may15_025-r001	18may15_025-r002	18may15_026-r001	18may15_026-r002	18may15_027-r001	18may15_027-r002	18may15_028-r001	18may15_028-r002	18may15_029-r001	18may15_029-r002	18may15_030-r001	18may15_030-r002	18may15_031-r001	18may15_031-r002	18may15_032-r001	18may15_032-r002	18may15_033-r001	18may15_033-r002	18may15_034-r001	18may15_034-r002	18may15_035-r001	18may15_035-r002	18may15_038-r001	18may15_038-r002	18may15_039-r001	18may15_039-r002	18may15_040-r001	18may15_040-r002
Factors	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:Old-Curcumin | Time point:Pre | replicate:1	groups:Old-Curcumin | Time point:Pre | replicate:2	groups:Old-Curcumin | Time point:Post | replicate:1	groups:Old-Curcumin | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:Old-Placebo | Time point:Pre | replicate:1	groups:Old-Placebo | Time point:Pre | replicate:2	groups:Old-Placebo | Time point:Post | replicate:1	groups:Old-Placebo | Time point:Post | replicate:2	groups:young | Time point:Baseline | replicate:1	groups:young | Time point:Baseline | replicate:2
413.858@0.70853347	1	1	1	1	1	1	1	1	1	6651	1	1	1	1	1	4866	1	1	1	1	5573	1	1	1	1	1	1	1	1	1	3734	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3578	1	1	1	1	1	1	1	1	1	1	1	1	1	3094	1	1	1	1	1	1	1	1	1	1	1	1	6305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7659	1	1	1	1	1	1	1	1	1	1	1	1	1	4914	1	1	1	1	1	1	4771	6467	1	1	1	1	1	1	1	1	1	1	1	3943	7389	1	1	1	5129	1	1	1	1	1	1	3740	1	1
440.0761@0.6910459	43039	43772	1	1	1	1	1	1	1	1	48904	47747	1	1	1	1	1	1	1	1	1	1	32889	36158	14109	13297	65442	65321	36637	38399	100550	102169	126140	138086	17009	16699	9085	9711	18387	20778	94440	86907	113090	100868	1	1	27807	28833	1	1	1	6211	24465	12963	24552	26865	14005	12617	20954	20263	7269	1	1	7261	81270	83586	26171	29021	8788	1	12725	12789	6166	1	49610	50981	13529	13273	23062	20330	10724	9692	1	1	17017	16087	8824	8920	1	1	27712	25127	15011	13891	21774	26642	67700	67364	30397	33660	1	1	1	1	59434	1	1	1	27154	27892	69251	56065	88585	97718	25468	24891	77446	84291	61334	59337	74491	68545	1	1	1	1	14089	1	1	1	1	1	1	5548	1	1	1	1	1	1	1	1	63676	62250
542.0147@0.6911163	14749	14838	1	1	1	1	1	1	1	1	21477	20348	1	1	1	1	1	1	1	1	1	1	17374	16398	6411	6920	27195	30687	13218	13022	41905	42309	56270	59948	1	1	1	1	9138	8192	41424	41801	39125	42009	1	1	13748	14416	1	1	1	1	4882	1	13610	11202	6149	7364	9920	10457	1	1	1	1	37466	42045	15112	14719	1	1	6969	1	1	1	26758	23864	1	1	9812	11413	1	1	1	1	1	8301	1	1	1	1	12070	13225	7707	7637	11244	12724	32946	32194	16465	13894	1	1	1	1	30195	1	1	1	13864	13365	31033	30888	40105	39764	11354	12060	40378	42209	29209	28635	35157	36297	1	1	1	1	8082	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34552	35235
565.0907@0.69125646	23986	23943	1	1	1	1	1	1	1	1	31009	30587	1	1	1	1	1	1	1	1	1	1	24513	23772	9989	8202	40835	41637	23241	21643	60756	65423	85652	86330	10193	10358	4947	4931	12488	15043	60785	57528	58565	63265	1	1	17789	17486	1	1	1	1	7564	7671	16359	15948	8657	8353	12668	11888	1	4876	1	1	55547	54734	17847	15593	1	5328	8686	9010	1	1	32377	32321	1	7819	14792	15330	6451	6635	1	1	9759	10000	1	5967	1	1	18106	15734	8572	8797	14937	13359	40973	41642	19809	21542	1	1	1	1	36866	1	1	1	16911	16750	42080	40066	54284	57957	15527	16677	51606	52379	35849	32975	43679	44043	1	1	1	1	8415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42593	40944
418.0785@0.7215334	7993	1	1	81539	1	1	1	1	1	20331	1	1	1	1	19409	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43095	1	36426	45613	1	1	1	1	1	1	1	1	1	1	28544	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24018	1	1	1	77212	1	1	1	1	1	30693	1	1	1	1	1	1	1	1	1	38200	1	1	1	1	37315	1	1	1	1	31398	1	1	1	1	1	1	1	1
667.0658@0.7038285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7151	6198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14290	14155	1	1	1	1	1	1	1	1	1519731	1501739	1	1	1	3739	11628	10554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4893	1	1	1	1	1	1	1	1	1	1	1	3063	1	1	1	5016	5297	1	1	4974	1	4522	5120	5074	4697	9245	7333	5059	5223	4014	4562	1551281	1556585	1	1	3744	4395	2745	1	324263	328247	368353	361501	1	1	1	2572	1	3922	1	1
154.9995@0.70462954	227396	153369	101583	72151	64298	56567	57004	53213	1	53136	49009	51646	50102	50925	53928	53533	54413	57628	58879	57365	1	52932	55585	51445	51465	48467	52195	53290	59444	56076	59884	61532	61852	72201	75707	78352	81128	75060	78360	82994	77365	80052	81330	82016	84579	83505	85133	88419	88299	107529	107262	104868	103351	106999	104451	101694	98318	94012	91095	87043	87083	88769	88177	90324	90922	90446	93435	93428	92492	94632	87831	83466	84098	84851	86282	89473	83787	86590	94082	97644	98817	104265	100765	101044	98146	100864	102058	105764	110736	105284	104217	100957	107070	109359	111077	108209	109661	113416	112639	114146	122471	117447	115534	119005	123859	1	122209	121838	120783	121545	122385	118276	127879	116919	122469	120593	124352	130921	128324	122438	125103	133296	126518	127035	115625	107010	110836	1	112582	116106	116332	111709	109941	101711	100079	92333	88167	91413	83487	87364	91358	91050	94567	97725
175.9896@0.70496553	131645	111290	99681	90768	87429	87052	86007	89814	1	82883	80873	84668	86852	89732	88092	89708	89388	92516	94532	99165	93695	90070	89148	87251	91691	85912	92726	90076	90328	88778	97760	98654	101078	106612	105383	113867	115538	110927	117562	114658	116156	114755	113321	112794	117784	113295	114836	119880	113612	132172	132332	128457	133519	129123	134847	131906	127208	126693	116963	109555	109592	109738	108826	109617	115351	118077	117936	117291	121431	117064	111532	112670	115988	115674	122358	120303	112575	112052	120312	118462	120351	131610	128362	118713	116757	118384	121751	123093	130029	125657	120024	118605	119731	125576	123330	123825	127945	124073	125967	122806	131885	131082	129094	127445	133327	1	137537	131910	129588	132154	132775	131171	141529	136602	142944	135468	138999	137320	140439	129334	144428	146974	149057	146150	130466	128166	136346	1	129979	137087	143274	140873	136074	130297	126396	115984	118948	125478	112575	115555	114805	119424	124638	125879
132.9976@0.7058146	47611	43112	39244	32737	1	33932	33536	35521	1	35246	33399	35227	36960	36536	1	39125	37613	41555	1	40464	1	40525	40738	39257	38880	37819	38845	41296	1	1	42557	37989	42417	43407	46344	44090	42246	43473	41934	42281	40898	40903	42193	44885	42511	45544	40776	43714	40664	52463	47979	46794	46735	44642	44789	44730	41135	44772	42495	39294	39173	36044	40755	39508	40955	39094	41468	38339	40950	1	42926	39969	39389	40709	44388	39472	1	41065	41524	40650	42953	44322	45450	42007	37715	1	41831	43254	43781	1	40331	40859	40016	42744	44321	44574	41268	42774	42759	44338	46927	44937	42103	46184	45294	1	47405	45794	43791	42395	48225	43545	48339	46979	1	47424	47475	50249	44653	46842	50339	49705	48467	47764	48539	43448	47582	1	44577	46423	47542	47115	45020	41777	46169	41392	44218	44133	41827	1	41603	44017	43041	44662
